City,Country,lat,lng,Temp,Max Temp,humidity,Cloudiness,Wind Speed
Savannah Bight,HN,16.45,-85.85,80.33,80.33,69,3,14.12
Nizwa,OM,22.93,57.53,79.97,79.97,34,13,5.75
Hofn,IS,64.25,-15.21,29.21,29.21,92,100,3.76
Sipe Sipe,BO,-17.45,-66.36,80.6,80.6,26,75,5.82
Bilma,NE,18.69,12.92,82.13,82.13,10,11,8.75
Batemans Bay,AU,-35.71,150.18,52.84,61.0,97,100,2.17
Mogadishu,SO,2.04,45.34,83.57,83.57,78,90,11.9
Fortuna,ES,38.18,-1.13,56.41,59.0,72,75,13.87
Provideniya,RU,64.42,-173.23,5.45,5.45,69,86,7.92
Solnechnyy,RU,50.72,136.64,30.29,30.29,62,0,8.3
Bluff,AU,-23.58,149.07,65.57,65.57,86,61,13.69
Eyl,SO,7.98,49.82,80.33,80.33,73,32,10.76
Cidreira,BR,-30.17,-50.22,66.83,66.83,73,100,10.98
Nisia Floresta,BR,-6.09,-35.21,83.26,84.2,74,40,12.75
San Francisco,US,37.78,-122.42,65.91,73.99,59,20,20.8
Port Alfred,ZA,-33.59,26.89,62.01,62.01,94,100,1.99
Saint-Louis,CH,47.59,7.56,56.3,60.8,62,0,5.82
Hithadhoo,MV,-0.6,73.08,83.57,83.57,77,100,16.11
Constitucion,MX,23.99,-104.67,83.57,84.2,7,75,14.99
Veraval,FR,49.65,0.71,58.17,62.6,45,0,5.82
East London,ZA,-33.02,27.91,60.35,60.35,92,100,7.56
San Cristobal,EC,-0.39,-78.55,59.32,60.8,87,90,8.05
Port Moresby,PG,-9.47,147.16,75.2,75.2,100,40,3.36
Ponta do Sol,BR,-20.63,-46.0,69.35,69.35,77,42,2.35
Ekhabi,RU,53.51,142.97,29.39,29.39,93,0,4.83
Puerto Ayora,EC,-0.74,-90.35,82.83,86.0,70,75,9.17
Isangel,VU,-19.55,169.27,79.43,79.43,84,100,16.6
Svetlogorsk,RU,53.14,59.15,32.0,32.0,66,40,8.95
Tirumullaivasal,IN,11.24,79.84,85.55,85.55,67,96,5.73
Saint George,GR,39.45,22.34,49.15,50.0,81,75,1.28
Beringovskiy,RU,63.05,179.32,8.51,8.51,82,0,5.35
Bonfim,BR,-20.33,-44.24,82.83,84.2,45,20,9.17
Taraclia,UA,45.9,28.68,46.13,46.13,47,0,7.99
Ocampo,PH,13.56,123.37,76.19,76.19,85,45,4.7
Rikitea,PF,-23.12,-134.97,79.61,79.61,81,56,13.62
Rio Gallegos,AR,-51.62,-69.22,59.0,59.0,41,0,17.22
La Grande,US,45.32,-118.09,59.27,64.0,38,1,20.8
Cape Town,ZA,-33.93,18.42,63.63,64.4,59,20,20.8
Victoria,BN,5.28,115.24,81.18,82.4,88,75,1.12
Severo-Kurilsk,RU,50.68,156.12,34.43,34.43,91,96,18.52
Tuktoyaktuk,CA,69.44,-133.03,26.6,26.6,79,20,13.87
Jamestown,AU,-33.21,138.6,54.77,54.77,70,21,7.78
Opuwo,NA,-18.06,13.84,74.39,74.39,42,19,4.16
Opaka,BG,43.45,26.17,44.6,44.6,87,22,6.93
Saldanha,PT,41.42,-6.55,57.47,57.47,58,97,3.09
Roald,NO,62.58,6.12,50.18,57.2,93,75,6.93
Meulaboh,ID,4.14,96.13,82.13,82.13,79,66,2.51
Klaksvik,FO,62.23,-6.59,48.2,48.2,93,100,17.22
Taoudenni,ML,22.68,-3.98,83.21,83.21,12,0,11.61
New Norfolk,AU,-42.78,147.06,55.02,57.2,58,75,12.75
Kitimat,CA,54.02,-128.69,45.18,46.4,70,90,19.46
Namatanai,PG,-3.66,152.44,79.07,79.07,85,57,4.94
Plaza de Caisan,PA,8.73,-82.82,74.28,87.8,66,40,13.87
Port Blair,IN,11.67,92.75,84.11,84.11,73,34,4.29
Tasiilaq,GL,65.61,-37.64,32.0,32.0,88,75,4.7
Laizhou,CN,37.18,119.93,53.51,53.51,96,0,10.04
Yellowknife,CA,62.45,-114.38,32.0,32.0,60,75,4.7
Jalu,LY,29.03,21.55,71.69,71.69,18,21,12.55
Geraldton,CA,49.72,-86.95,42.8,42.8,45,20,6.93
Mildura,AU,-34.18,142.16,55.17,55.4,76,100,8.05
Ossora,RU,59.24,163.07,31.55,31.55,77,49,0.69
Skopin,RU,53.82,39.55,48.65,48.65,41,0,2.08
Oistins,BB,13.07,-59.53,84.2,84.2,62,40,18.34
Henties Bay,NA,-22.12,14.28,57.99,57.99,92,29,3.0
Pucallpa,PE,-8.38,-74.54,94.55,94.55,44,76,4.5
Plouzane,FR,48.38,-4.62,57.2,62.6,62,0,4.7
Dali,CN,25.6,100.24,47.93,47.93,61,0,3.36
Macia,MZ,-25.03,33.09,68.99,68.99,91,77,6.08
Port Hardy,CA,50.7,-127.42,46.4,46.4,87,90,11.41
Tingi,TZ,-11.3,35.03,69.17,69.17,89,72,3.44
Katsuura,JP,33.93,134.5,62.2,62.6,93,75,6.93
Saskylakh,RU,71.97,114.09,4.01,4.01,97,92,8.43
Saint-Augustin,FR,44.83,-0.61,58.59,59.0,58,0,9.17
Saint-Jerome,CA,45.78,-74.0,61.2,64.0,63,20,8.05
North Branch,US,45.51,-92.98,70.43,78.01,46,1,8.05
Bathsheba,BB,13.22,-59.52,84.2,84.2,62,40,18.34
Kodiak,US,39.95,-94.76,84.16,84.99,26,1,25.28
Esperance,TT,10.24,-61.45,85.01,87.01,58,40,17.22
Port Macquarie,AU,-31.43,152.91,58.5,59.0,100,40,1.86
Kemin,KG,42.79,75.7,41.45,41.45,98,100,4.81
Alekseyevsk,RU,57.84,108.35,24.17,24.17,89,100,4.97
Katunino,RU,64.39,40.63,44.6,44.6,56,40,8.95
Lufkin,US,31.34,-94.73,80.1,81.0,41,1,11.41
Srednekolymsk,RU,67.46,153.71,22.91,22.91,80,27,12.95
Bethel,US,60.79,-161.76,25.27,26.6,85,90,18.34
Kruisfontein,ZA,-34.0,24.73,58.37,58.37,88,75,6.11
Lebu,ET,8.96,38.73,60.35,60.35,77,49,3.33
Kysyl-Syr,RU,63.9,122.77,14.63,14.63,88,0,2.84
Ulagan,RU,50.63,87.96,10.85,10.85,95,94,1.88
Ilulissat,GL,69.22,-51.1,28.4,28.4,86,90,9.17
Padang,ID,-0.92,100.36,83.75,83.75,71,100,3.8
Vila Franca do Campo,PT,37.72,-25.43,57.76,60.8,77,20,13.87
Yar-Sale,RU,66.83,70.83,30.29,30.29,89,100,11.65
Sorland,NO,67.67,12.69,42.8,42.8,75,40,5.82
Alice Town,BS,25.72,-79.3,73.85,73.85,52,0,8.01
Makakilo City,US,21.35,-158.09,79.32,82.4,51,40,9.17
Tilichiki,RU,60.47,166.1,25.97,25.97,67,0,5.86
Faanui,PF,-16.48,-151.75,83.75,83.75,73,100,6.26
Lasa,CY,34.92,32.53,57.29,59.0,54,20,13.87
Preobrazheniye,RU,42.9,133.91,37.31,37.31,34,0,5.17
Cherskiy,RU,68.75,161.3,10.13,10.13,80,19,4.18
Angermunde,DE,53.02,14.0,55.45,61.0,46,4,6.31
Havoysund,NO,71.0,24.66,39.2,39.2,86,75,41.38
Tomatlan,MX,19.93,-105.25,84.65,84.65,55,0,10.6
Pochutla,MX,15.74,-96.47,88.45,91.99,36,5,6.08
Berezovyy,RU,51.67,135.7,24.89,24.89,77,57,4.81
Katobu,ID,-4.94,122.53,76.37,76.37,95,99,3.06
Port Elizabeth,US,39.31,-74.98,66.02,71.01,55,20,8.05
Koumac,NC,-20.56,164.28,79.43,79.43,82,11,13.29
Severo-Yeniseyskiy,RU,60.37,93.04,15.35,15.35,95,97,7.49
Santa Maria,BR,-29.69,-53.81,69.8,69.8,88,90,9.17
Lorengau,PG,-2.02,147.27,78.71,78.71,91,63,2.3
Chumikan,RU,54.72,135.31,18.41,18.41,94,100,5.88
Kabare,RW,-1.65,29.38,56.03,56.03,97,97,2.48
Barrow,AR,-38.31,-60.23,59.63,59.63,58,0,8.39
Bonavista,CA,48.65,-53.11,43.0,43.0,86,98,4.0
Shenjiamen,CN,29.96,122.3,65.57,65.57,97,80,9.28
San Blas,MX,21.54,-105.29,86.0,86.0,22,20,5.82
Chokurdakh,RU,70.62,147.9,15.35,15.35,80,99,16.22
Ahipara,NZ,-35.17,173.16,62.01,62.01,100,100,11.56
Goma,CD,-1.67,29.23,56.03,56.03,97,97,2.48
Vostok,RU,46.45,135.83,32.63,32.63,42,0,3.49
Georgetown,GY,6.8,-58.16,86.95,87.8,70,40,16.11
Turukhansk,RU,65.8,87.96,7.79,7.79,91,80,8.05
Sao Filipe,CV,14.9,-24.5,71.69,71.69,82,0,17.4
Hilo,US,19.71,-155.08,76.77,81.0,57,40,4.7
Praia,BR,-20.25,-43.81,82.74,84.2,45,20,9.17
Dhadar,IN,28.33,75.06,87.89,87.89,23,0,5.17
Bambous Virieux,MU,-20.34,57.76,78.35,78.8,94,75,11.41
Sola,NO,58.89,5.65,51.91,55.0,57,0,8.05
Hasaki,JP,35.73,140.83,54.23,55.4,100,75,1.12
Novyy Urengoy,RU,66.08,76.63,29.57,29.57,94,88,14.0
Tuatapere,NZ,-46.13,167.69,42.01,42.01,97,1,9.42
Pisco,PE,-13.71,-76.2,74.16,75.99,30,0,6.93
Cayenne,GF,4.94,-52.33,84.2,84.2,70,75,12.75
Caboolture,AU,-27.08,152.95,64.0,66.99,100,75,6.93
Zhezkazgan,KZ,47.8,67.71,37.85,37.85,60,94,8.12
Nalut,LY,31.86,10.98,88.43,88.43,16,91,33.51
Nikolskoye,RU,59.7,30.79,40.14,45.0,56,0,2.24
Tadine,NC,-21.55,167.88,76.73,76.73,87,98,23.02
San Andres,PH,13.32,122.68,77.45,77.45,84,38,5.19
Doba,TD,8.66,16.85,92.21,92.21,23,63,4.74
Tiksi,RU,71.64,128.87,16.79,16.79,76,53,6.67
Huinan,CN,42.68,126.04,40.73,40.73,28,2,5.97
Vanimo,PG,-2.67,141.3,80.69,80.69,82,100,7.74
Nome,US,30.04,-94.42,77.47,80.01,41,1,13.87
Upernavik,GL,72.79,-56.15,17.51,17.51,89,100,13.42
Honiara,SB,-9.43,159.96,75.2,75.2,94,40,4.7
Tessalit,ML,20.2,1.01,91.49,91.49,11,0,8.57
Ucluelet,CA,48.94,-125.55,53.69,55.99,71,90,8.05
Biswan,IN,27.49,81.0,82.49,82.49,34,0,4.47
Vargem Grande,BR,-23.71,-46.2,81.34,84.0,78,90,3.36
Kungurtug,RU,50.6,97.53,23.27,23.27,81,100,3.87
Alta Floresta,BR,-9.87,-56.08,80.6,80.6,94,20,3.36
Dikson,RU,73.51,80.55,15.53,15.53,96,100,7.54
Shingu,JP,33.72,135.99,55.49,55.49,99,99,2.24
Bredasdorp,ZA,-34.53,20.04,62.91,64.4,72,1,10.29
Tevaitoa,PF,-16.78,-151.5,83.03,83.03,75,100,6.89
Obo,CF,5.39,26.49,80.33,80.33,44,62,2.21
Baijiantan,CN,45.63,85.18,52.25,52.25,56,100,6.11
Pekan,MY,3.49,103.39,77.88,78.01,94,75,1.16
Nkhotakota,MW,-12.93,34.3,65.39,65.39,80,55,3.87
Shahrud,IR,36.42,54.97,29.57,29.57,95,92,3.47
Mount Gambier,AU,-37.83,140.78,42.8,42.8,100,6,8.08
Ola,RU,59.58,151.3,30.47,30.47,80,100,8.93
Guerrero Negro,MX,27.97,-114.04,59.63,59.63,84,95,14.2
Margate,AU,-43.03,147.26,55.04,57.2,58,75,12.75
Lulea,SE,65.58,22.15,44.6,44.6,75,0,4.7
Cockburn Town,TC,21.46,-71.14,79.43,79.43,78,36,14.83
Fare,PF,-16.7,-151.02,83.03,83.03,75,100,6.89
Bud,NO,62.91,6.91,46.87,48.99,93,75,6.93
Luderitz,NA,-26.65,15.16,59.0,59.0,77,0,12.75
El Cobre,CU,20.05,-75.95,80.6,80.6,69,40,4.7
Emerald,AU,-23.53,148.16,64.98,66.2,93,100,9.17
Marovoay,MG,-16.11,46.64,82.4,82.4,88,20,2.24
Nivala,FI,63.93,24.96,43.81,46.99,61,100,4.0
Wanning,AT,48.64,13.53,53.22,57.2,35,0,6.93
Tosya,TR,41.02,34.04,27.23,27.23,87,20,5.88
Kuusamo,FI,65.96,29.19,37.4,37.4,93,90,11.41
Vallenar,CL,-28.58,-70.76,70.97,70.97,38,0,7.0
San Patricio,PY,-26.98,-56.83,78.35,78.35,83,100,4.94
Mar del Plata,AR,-46.43,-67.52,65.03,65.03,32,9,5.41
Cabra,ES,37.47,-4.43,54.95,57.99,62,0,5.82
Paita,PE,-5.09,-81.11,62.6,62.6,290,0,10.29
Lagoa,PT,37.14,-8.45,63.37,66.0,88,20,3.36
Kuznechnoye,RU,61.12,29.87,38.41,42.01,77,66,7.09
Poya,NC,-21.35,165.16,78.89,78.89,82,49,7.27
Adrar,DZ,27.87,-0.29,77.0,77.0,20,0,11.41
Matagami,NG,9.67,8.4,85.37,85.37,22,69,2.15
Avarua,CK,-21.21,-159.78,77.0,77.0,61,7,13.87
Sangamner,IN,19.57,74.2,76.55,76.55,43,0,8.7
Karratha,AU,-20.74,116.85,71.69,71.69,18,1,17.92
Cap Malheureux,MU,-19.98,57.61,78.42,78.8,94,75,11.41
Itarema,BR,-2.92,-39.92,78.17,78.17,89,100,5.73
Plettenberg Bay,ZA,-34.05,23.37,57.47,57.47,89,58,5.06
Garowe,SO,8.41,48.48,80.87,80.87,69,47,15.79
Ajaccio,FR,41.93,8.74,61.2,62.6,55,0,4.7
Wynyard,CA,51.77,-104.18,53.33,53.33,33,97,10.38
Laguna,MX,27.52,-110.01,86.0,86.0,33,75,14.99
San Rafael del Sur,NI,11.85,-86.44,91.4,91.4,43,40,18.34
Cleveland,US,41.51,-81.69,52.59,59.0,71,40,6.93
Kaitangata,NZ,-46.28,169.85,49.37,49.37,92,33,2.44
Pimentel,BR,-3.7,-45.5,77.81,77.81,95,99,3.0
Umm Kaddadah,SD,13.6,26.69,75.11,75.11,11,22,13.47
Rybnaya Sloboda,RU,55.46,50.14,37.4,37.4,64,0,4.47
Aklavik,CA,68.22,-135.01,34.05,41.0,52,20,9.17
Mpanda,TZ,-6.34,31.07,65.21,65.21,96,100,1.66
Khatanga,RU,71.98,102.47,-8.06,-8.06,99,100,3.09
Cork,IE,51.9,-8.47,47.88,48.99,100,75,8.05
Lockhart,AU,-35.22,146.72,62.6,62.6,100,90,4.7
Madison,US,43.07,-89.38,78.91,81.0,21,1,17.22
Sawtell,AU,-30.38,153.1,60.53,60.8,93,40,4.7
Berlevag,NO,70.86,29.09,39.06,41.0,80,75,27.51
Manaus,BR,-3.13,-59.98,82.4,82.4,78,75,5.82
Provost,CA,52.35,-110.26,54.95,54.95,23,0,6.62
Fez,MA,34.03,-5.02,54.57,55.4,100,75,6.93
Hualmay,PE,-11.1,-77.61,68.63,68.63,94,16,12.82
Mayo,CA,63.59,-135.9,46.4,46.4,28,75,12.75
Karonga,MW,-9.94,33.93,59.63,59.63,96,67,0.47
Komatipoort,MZ,-25.43,31.96,69.01,69.01,85,18,1.01
Gaomi,CN,36.37,119.8,53.6,53.6,93,75,5.46
Iqaluit,CA,63.75,-68.52,17.28,17.6,67,20,20.8
Adelanto,US,34.58,-117.41,66.22,73.4,22,20,8.05
Nanakuli,US,21.39,-158.15,79.32,82.4,51,40,9.17
Glossop,GB,53.44,-1.95,59.22,63.0,48,0,3.36
Poum,MK,41.28,20.71,53.6,53.6,58,40,2.24
Olga,US,34.11,-118.17,66.06,71.01,52,40,8.05
Norman Wells,CA,65.28,-126.83,44.6,44.6,56,20,12.75
Farafangana,MG,-22.82,47.83,69.53,69.53,97,0,2.77
Tazovskiy,RU,67.47,78.7,29.21,29.21,95,100,14.63
Monastyrshchina,RU,54.35,31.84,46.49,46.49,67,55,4.74
Port Victoria,AU,-34.5,137.49,60.89,60.89,63,88,12.68
Mahebourg,MU,-20.41,57.7,78.33,78.8,94,75,11.41
Dicabisagan,PH,17.08,122.42,75.83,75.83,90,3,0.89
Zhanaozen,KZ,43.35,52.85,46.13,46.13,54,0,4.76
Sinnamary,GF,5.38,-52.96,81.23,81.23,76,77,15.12
Westport,IE,53.8,-9.52,54.32,55.0,87,75,9.17
Longyearbyen,NO,78.22,15.63,17.6,17.6,40,0,13.87
Antofagasta,CL,-23.65,-70.4,66.2,66.2,63,20,16.11
Lompoc,US,34.64,-120.46,64.71,71.01,59,1,18.34
Hay River,CA,60.82,-115.79,39.2,39.2,60,20,14.99
Zhigansk,RU,66.77,123.37,15.35,15.35,89,80,7.43
Tucuman,PE,-17.17,-70.89,62.69,62.69,66,38,7.43
Caravelas,BR,-17.73,-39.27,80.33,80.33,77,17,6.96
Tateyama,JP,36.66,137.31,57.27,59.0,95,83,1.99
Souillac,FR,45.6,-0.6,58.23,59.0,72,0,2.24
Ginda,IN,30.69,78.49,49.91,49.91,50,0,5.79
Ouango,CD,4.31,22.55,76.91,76.91,42,51,0.83
Faya,SA,18.39,42.45,65.32,66.2,82,0,8.05
Claremore,US,36.31,-95.62,82.4,84.99,30,1,25.28
Zilair,RU,52.23,57.44,36.41,36.41,72,98,4.81
Haines Junction,CA,60.75,-137.51,34.97,34.97,52,39,12.17
Havelock,US,34.88,-76.9,62.8,64.99,59,90,12.75
Sadasivpet,IN,17.62,77.95,80.28,80.6,54,40,6.93
Busayra,JO,30.74,35.61,58.73,58.73,46,0,6.38
Pevek,RU,69.7,170.27,-0.13,-0.13,90,5,6.67
San Vicente,SV,13.64,-88.78,90.19,91.4,31,0,8.05
Oranjemund,ZA,-28.55,16.43,60.53,60.53,85,0,17.43
Vardo,US,39.62,-77.74,64.08,68.0,45,90,10.29
Quatre Cocos,MU,-20.21,57.76,78.37,78.8,94,75,11.41
Phibun Mangsahan,TH,15.24,105.23,82.4,82.4,88,28,1.12
Ketchikan,US,55.34,-131.65,45.19,46.4,93,90,23.04
Sabzevar,IR,36.21,57.68,51.53,51.53,60,0,6.11
Ust-Nera,RU,64.57,143.24,22.37,22.37,88,93,3.76
La Ronge,CA,55.1,-105.3,46.4,46.4,48,75,8.05
Mocuba,MZ,-16.84,36.99,66.11,66.11,97,17,2.51
Coxim,BR,-18.5,-54.75,86.27,86.27,62,42,3.11
Hovd,NO,63.83,10.7,46.11,46.99,87,75,4.7
Bilibino,RU,68.06,166.44,4.37,4.37,79,0,3.15
Bella Vista,AR,-28.51,-59.05,76.91,76.91,74,90,8.12
Teacapan,MX,22.54,-105.74,74.39,74.39,80,0,12.82
Patti,IT,38.14,14.96,58.93,64.4,77,90,18.34
Hit,IQ,33.64,42.83,59.81,59.81,35,92,17.98
Carnarvon,ZA,-30.97,22.13,54.95,54.95,58,0,26.37
Chara,GR,39.42,22.43,49.12,50.0,81,75,1.28
Husavik,CA,50.56,-96.99,65.12,66.0,30,73,7.0
Zhangye,CN,38.94,100.46,54.59,54.59,25,0,3.69
Sitka,US,37.17,-99.65,90.0,90.0,16,0,14.0
Natchez,US,31.56,-91.4,77.38,78.8,39,1,6.93
Muros,ES,42.77,-9.06,57.24,66.0,76,0,9.17
Macenta,GN,8.55,-9.47,78.71,78.71,67,99,1.19
Bording,DK,56.15,9.28,48.74,52.0,61,0,3.36
Acaponeta,MX,22.49,-105.36,90.95,90.95,37,0,8.5
Erzin,TR,36.95,36.2,56.57,57.2,50,20,12.75
Kirakira,SB,-10.46,161.92,81.41,81.41,78,100,2.95
Qaqortoq,GL,60.72,-46.03,41.0,41.0,44,39,9.17
Marathon,CA,48.72,-86.38,51.8,51.8,43,75,9.17
Tezu,IN,27.93,96.16,66.65,66.65,45,3,3.96
Laramie,US,41.31,-105.59,49.55,53.6,81,90,11.41
Vossevangen,NO,60.63,6.42,50.0,50.0,77,5,5.7
Guarapuava,BR,-25.4,-51.46,65.39,65.39,97,100,2.01
Ridgecrest,US,35.62,-117.67,72.63,75.99,19,1,2.93
Aykhal,RU,65.95,111.51,14.0,14.0,85,90,4.47
Qinzhou,CN,21.96,108.62,78.17,78.17,94,0,5.35
Timbuktu,ML,16.77,-3.01,91.67,91.67,11,0,3.65
General Roca,AR,-39.03,-67.58,75.2,75.2,29,0,8.05
Airai,TL,-8.93,125.41,73.31,73.31,72,59,6.24
Lufilufi,WS,-13.87,-171.6,82.18,82.4,83,75,7.07
Kavaratti,IN,10.57,72.64,84.29,84.29,68,75,9.6
Hoquiam,US,46.98,-123.89,53.94,57.2,71,90,11.41
Jammalamadugu,IN,14.85,78.38,92.21,92.21,42,77,13.38
Inhambane,MZ,-23.87,35.38,73.4,73.4,83,20,3.65
Teguise,ES,29.06,-13.56,66.2,66.2,72,20,19.46
Touros,BR,-5.2,-35.46,82.4,82.4,83,40,6.93
Vesyegonsk,RU,58.67,37.27,42.53,42.53,70,0,2.77
Port Hedland,AU,-20.31,118.58,71.6,71.6,19,87,9.17
Port Lincoln,AU,-34.72,135.86,60.17,60.17,59,100,8.57
Daru,SL,7.99,-10.85,77.09,77.09,91,76,3.65
Canon City,US,39.46,-117.13,44.6,44.6,75,90,9.17
Ancud,CL,-41.87,-73.83,50.0,50.0,81,90,4.7
Namibe,AO,-15.19,12.15,73.13,73.13,78,72,5.79
Uyuni,BO,-20.46,-66.82,61.61,61.61,7,0,11.3
Chifeng,CN,42.27,118.96,47.57,47.57,46,98,10.65
Muisne,EC,0.61,-80.02,80.6,80.6,83,75,4.7
Lincoln,GB,53.23,-0.54,55.45,61.0,54,0,2.24
Turayf,SA,31.68,38.65,42.8,42.8,81,0,16.11
Kirkenaer,NO,60.46,12.06,56.43,57.2,32,0,9.17
Hue,VN,16.47,107.58,80.87,80.87,74,71,2.06
Kloulklubed,PW,7.04,134.26,77.0,77.0,88,75,4.7
Rocha,UY,-34.48,-54.34,57.47,57.47,67,0,6.15
Rio Brilhante,BR,-21.8,-54.54,78.17,78.17,82,100,4.68
Shelburne,CA,44.08,-80.2,54.77,59.0,58,20,6.93
Vanavara,RU,60.35,102.28,20.57,20.57,88,100,8.19
Langsa,ID,4.47,97.97,69.35,69.35,90,33,3.58
Mehamn,NO,71.03,27.85,41.0,41.0,82,75,27.51
Pindiga,NG,9.98,10.93,92.39,92.39,14,55,0.4
Yerbogachen,RU,61.28,108.01,21.65,21.65,93,99,3.29
Hervey Bay,AU,-25.3,152.85,67.19,68.0,93,89,6.93
Chuy,UY,-33.69,-53.46,64.13,64.13,62,0,15.19
Three Hills,CA,51.7,-113.27,58.42,62.01,28,75,6.93
Kot Samaba,PK,28.55,70.47,92.03,92.03,17,0,8.32
Necochea,AR,-38.55,-58.74,62.01,62.01,66,44,5.99
Zheshart,RU,62.09,49.59,34.97,34.97,94,93,5.66
Lavrentiya,RU,65.58,-170.99,-0.32,-0.32,88,86,6.71
Manokwari,ID,-0.87,134.08,74.03,74.03,83,100,1.83
Talara,PE,-4.58,-81.27,62.6,62.6,290,0,10.29
Nsoko,ZA,-27.07,31.93,60.35,60.35,94,26,4.45
Cabedelo,BR,-6.97,-34.84,82.4,82.4,74,20,10.29
Mandurah,AU,-32.55,115.7,46.8,51.01,93,0,3.36
Kenora,CA,49.76,-94.48,58.62,60.8,29,75,8.05
San Policarpo,PH,12.18,125.51,81.23,81.23,73,75,10.11
Gatesville,US,31.44,-97.74,81.28,82.99,51,1,13.87
Ypsonas,CY,34.69,32.96,56.57,59.0,54,0,13.87
Aquiraz,BR,-3.9,-38.39,83.7,84.2,70,40,10.29
Ixtapa,MX,20.71,-105.21,81.32,82.0,69,5,12.75
Nurota,UZ,40.56,65.69,49.73,49.73,58,0,4.81
Dawlatabad,AF,36.41,64.91,51.71,51.71,58,1,5.23
Komsomolskiy,RU,67.55,63.78,32.99,32.99,97,100,14.58
Campagna,IT,40.66,15.11,58.23,63.0,93,90,14.99
Mexico,US,44.56,-70.55,61.03,66.99,93,90,6.93
Irbit,RU,57.67,63.06,40.01,40.01,82,100,4.97
Det Udom,TH,14.9,105.08,82.4,82.4,88,21,1.12
Te Anau,NZ,-45.41,167.72,43.07,43.07,80,1,1.88
Torbay,CA,47.66,-52.73,49.78,53.6,93,90,25.28
Belyy Yar,RU,53.6,91.39,30.2,30.2,80,40,4.47
Half Moon Bay,US,37.46,-122.43,66.18,73.0,59,20,20.8
Nanortalik,GL,60.14,-45.24,30.65,30.65,86,19,10.71
Bahir Dar,ET,11.59,37.39,72.95,72.95,30,86,4.27
Pincher Creek,CA,49.49,-113.95,53.26,53.6,37,40,4.7
Vila,IT,45.18,8.4,60.73,66.0,54,0,3.36
San Angelo,US,31.46,-100.44,87.55,89.01,33,1,11.41
Narsaq,GL,60.91,-46.05,41.0,41.0,44,39,9.17
Ambilobe,MG,-13.19,49.05,74.75,74.75,91,100,4.63
Coahuayana,MX,18.62,-100.35,104.27,104.27,12,2,5.39
Clyde River,CA,70.47,-68.59,1.4,1.4,70,1,10.29
Mingaora,PK,34.78,72.36,56.57,56.57,41,93,9.86
Traunreut,DE,47.96,12.6,51.44,54.0,57,0,3.36
Ravar,IR,31.27,56.81,67.37,67.37,15,1,11.07
Megion,RU,61.04,76.11,32.0,32.0,94,75,4.47
Balikpapan,ID,-1.24,116.86,70.43,70.43,98,50,0.54
Port Augusta,AU,-32.49,137.76,56.86,59.0,67,90,14.99
Astoria,US,46.19,-123.83,54.01,57.0,54,75,8.05
